Description,Designator,Footprint,Quantity,Value,pn
"PNP General-purpose Transistor, PNP General-purpose Transistor, NPN General-purpose Transistor, NPN General-purpose Transistor, PNP General-purpose Transistor, PNP General-purpose Transistor, NPN General-purpose Transistor, NPN General-purpose Transistor","Q1.1, Q1.2, Q2.1, Q2.2, Q3.1, Q3.2, Q4.1, Q4.2","SOT-23-TT3_N","8","BC857, BC857, BC847, BC847, BC857B, BC857B, BC847B, BC847B","BC857BLT1G, BC857BLT1G, BC847BLT1G, BC847BLT1G, BC857BLT1G, BC857BLT1G, BC847BLT1G, BC847BLT1G"
"HEXFET Power MOSFET","Q5, Q6, Q7, Q8","TO227","4","28N65","STW28N65M2,ISOLATOR"
"Resistor","R32, R33, R34, R35","1210_W","4","100k",""
"Resistor","R36, R37","0805_W","2","10k",""
"Resistor","R38.1, R38.2, R42.1, R42.2","1210_W","4","22",""
"","T1.1, T1.2","Trafo","2","Wurth 1:2","760390015"
"Low-Power Quad Voltage Comparator","U1.1, U1.2","SOIC-14N","2","LM339","LM339DT"
"","U2.1, U2.2","SOT-23-TT3_M","2","TL431AMFDT,215","TL431AMFDT\,215"
"Low-Power Linear Active Thermistor IC, 3-Pin SOT-23, Extended Temperature, Tape and Reel","U3.1, U3.2","SOT-23_L","2","MCP9700T","MCP9700T-E/TT"
"","U4.1, U4.2","SOT353","2","74AHCT1G08","74AHCT1G08SE-7"
"Pulse-Width-Modulation Control Circuit","U7.1, U7.2","SOIC16_M","2","TL494","TL494IDR"
"","U8.1, U8.2","LM78XX","2","LM7805","UA78M05CDCY"
